tempo_s,theta1_ref_deg,theta1_med_deg,theta2_ref_deg,theta2_med_deg,erro1_deg,erro2_deg,torque1_Nm,torque2_Nm,overshoot1_deg,overshoot2_deg,settling_time1_s,settling_time2_s,estado
0.0,-57.91,-57.91,133.43,133.43,0.0,0.0,0.0,0.0,49.632,47.932,,,APROXIMAR
0.1,-55.15,-55.41,130.77,130.93,0.262,-0.165,0.357,-0.217,49.632,47.932,,,APROXIMAR
0.2,-52.4,-52.65,128.11,128.29,0.258,-0.18,0.358,-0.216,49.632,47.932,,,APROXIMAR
0.3,-49.64,-49.89,125.44,125.63,0.254,-0.188,0.359,-0.216,49.632,47.932,,,APROXIMAR
0.4,-46.88,-47.13,122.78,122.97,0.251,-0.192,0.359,-0.215,49.632,47.932,,,APROXIMAR
0.5,-44.12,-44.37,120.12,120.31,0.248,-0.193,0.36,-0.214,49.632,47.932,,,APROXIMAR
0.6,-41.37,-41.61,117.46,117.65,0.245,-0.192,0.361,-0.214,49.632,47.932,,,APROXIMAR
0.7,-38.61,-38.85,114.79,114.98,0.242,-0.19,0.361,-0.213,49.632,47.932,,,APROXIMAR
0.8,-35.85,-36.09,112.13,112.32,0.239,-0.188,0.362,-0.213,49.632,47.932,,,APROXIMAR
0.9,-33.09,-33.33,109.47,109.65,0.237,-0.186,0.362,-0.212,49.632,47.932,,,APROXIMAR
1.0,-30.34,-30.57,106.8,106.99,0.234,-0.183,0.363,-0.212,49.632,47.932,,,APROXIMAR
1.1,-27.58,-27.81,104.14,104.32,0.231,-0.18,0.363,-0.211,49.632,47.932,,,APROXIMAR
1.2,-24.82,-25.05,101.48,101.66,0.229,-0.178,0.364,-0.211,49.632,47.932,,,APROXIMAR
1.3,-22.06,-22.29,98.82,98.99,0.226,-0.175,0.364,-0.211,49.632,47.932,,,APROXIMAR
1.4,-19.31,-19.61,96.15,96.35,0.307,-0.201,0.776,-0.279,49.632,47.932,,,APROXIMAR
1.5,-16.55,-16.95,93.49,93.7,0.395,-0.207,0.802,-0.253,49.632,47.932,,,APROXIMAR
1.6,-13.79,-14.25,90.83,91.03,0.452,-0.2,0.827,-0.227,49.632,47.932,,,APROXIMAR
1.7,-11.04,-11.53,88.16,88.35,0.491,-0.186,0.852,-0.203,49.632,47.932,,,APROXIMAR
0.0,-8.27,-8.27,87.3,87.3,0.0,0.0,-32.408,8.369,1.093,7.378,,,LEVANTAR
0.1,-8.41,-8.73,88.23,88.22,0.32,0.009,0.022,0.087,1.093,7.378,,,LEVANTAR
0.2,-8.55,-8.69,89.15,89.1,0.148,0.047,-0.048,0.062,1.093,7.378,,,LEVANTAR
0.3,-8.68,-8.73,90.07,90.0,0.045,0.07,-0.039,0.067,1.093,7.378,,,LEVANTAR
0.4,-8.82,-8.81,90.99,90.91,-0.014,0.085,-0.033,0.07,1.093,7.378,,,LEVANTAR
0.5,-8.96,-8.91,91.92,91.82,-0.047,0.095,-0.03,0.071,1.093,7.378,,,LEVANTAR
0.6,-9.09,-9.03,92.84,92.74,-0.066,0.101,-0.028,0.072,1.093,7.378,,,LEVANTAR
0.7,-9.23,-9.15,93.76,93.66,-0.076,0.104,-0.027,0.073,1.093,7.378,,,LEVANTAR
0.0,-9.28,-9.28,94.58,94.58,0.0,0.0,5.217,-5.352,4.614,25.229,,,TRANSPORTAR_WP1
0.1,-8.59,-8.75,98.36,97.98,0.155,0.381,0.077,0.365,4.614,25.229,,,TRANSPORTAR_WP1
0.2,-7.9,-7.97,102.15,101.78,0.068,0.37,0.009,0.33,4.614,25.229,,,TRANSPORTAR_WP1
0.3,-7.21,-7.22,105.93,105.57,0.013,0.359,0.013,0.338,4.614,25.229,,,TRANSPORTAR_WP1
0.4,-6.52,-6.5,109.71,109.36,-0.018,0.35,0.016,0.331,4.614,25.229,,,TRANSPORTAR_WP1
0.5,-5.82,-5.89,113.5,112.91,0.067,0.588,1.049,2.264,4.614,25.229,,,TRANSPORTAR_WP1
0.6,-5.13,-5.52,117.28,116.03,0.394,1.252,1.274,2.365,4.614,25.229,,,TRANSPORTAR_WP1
0.0,-5.18,-5.18,118.29,118.29,0.0,0.0,-31.378,-75.548,97.561,0.626,,,TRANSPORTAR_WP2
0.1,-19.81,-17.73,118.2,117.82,-2.083,0.379,-3.497,-0.136,97.561,0.626,,,TRANSPORTAR_WP2
0.2,-34.44,-32.12,118.1,118.04,-2.319,0.06,-3.847,-0.706,97.561,0.626,,,TRANSPORTAR_WP2
0.3,-49.08,-46.58,118.01,118.27,-2.502,-0.259,-3.792,-0.797,97.561,0.626,,,TRANSPORTAR_WP2
0.4,-63.71,-61.15,117.91,118.38,-2.565,-0.461,-3.714,-0.792,97.561,0.711,,,TRANSPORTAR_WP2
0.5,-78.35,-76.17,117.82,117.98,-2.175,-0.16,-2.053,0.508,97.561,0.711,,,TRANSPORTAR_WP2
0.6,-92.98,-91.13,117.73,117.62,-1.849,0.102,-2.01,0.571,97.561,0.711,,,TRANSPORTAR_WP2
0.0,-100.88,-100.88,117.52,117.52,0.0,0.0,80.0,-7.47,33.942,39.367,,,TRANSPORTAR_WP3
0.1,-95.79,-98.58,111.61,113.34,2.785,-1.728,7.069,-6.602,33.942,39.367,,,TRANSPORTAR_WP3
0.2,-90.7,-93.88,105.71,108.81,3.177,-3.103,2.808,-3.056,33.942,39.367,,,TRANSPORTAR_WP3
