tempo_s,theta1_ref_deg,theta1_med_deg,theta2_ref_deg,theta2_med_deg,erro1_deg,erro2_deg,torque1_Nm,torque2_Nm,overshoot1_deg,overshoot2_deg,settling_time1_s,settling_time2_s,estado
0.0,-57.91,-57.91,133.43,133.43,0.0,0.0,0.0,0.0,46.058,49.482,,,APROXIMAR
0.1,-55.35,-55.59,130.68,130.86,0.242,-0.173,0.33,-0.226,46.058,49.482,,,APROXIMAR
0.2,-52.79,-53.03,127.93,128.12,0.238,-0.188,0.331,-0.226,46.058,49.482,,,APROXIMAR
0.3,-50.23,-50.47,125.19,125.38,0.235,-0.197,0.332,-0.226,46.058,49.482,,,APROXIMAR
0.4,-47.67,-47.91,122.44,122.64,0.232,-0.201,0.332,-0.225,46.058,49.482,,,APROXIMAR
0.5,-45.12,-45.34,119.69,119.89,0.229,-0.202,0.333,-0.225,46.058,49.482,,,APROXIMAR
0.6,-42.56,-42.78,116.94,117.14,0.226,-0.201,0.333,-0.224,46.058,49.482,,,APROXIMAR
0.7,-40.0,-40.22,114.19,114.39,0.224,-0.199,0.334,-0.224,46.058,49.482,,,APROXIMAR
0.8,-37.44,-37.66,111.44,111.64,0.221,-0.197,0.334,-0.223,46.058,49.482,,,APROXIMAR
0.9,-34.88,-35.1,108.69,108.89,0.219,-0.195,0.335,-0.223,46.058,49.482,,,APROXIMAR
1.0,-32.32,-32.54,105.94,106.13,0.216,-0.192,0.335,-0.222,46.058,49.482,,,APROXIMAR
1.1,-29.76,-30.02,103.19,103.4,0.254,-0.205,0.685,-0.282,46.058,49.482,,,APROXIMAR
1.2,-27.2,-27.54,100.44,100.66,0.334,-0.219,0.673,-0.283,46.058,49.482,,,APROXIMAR
1.3,-24.65,-25.02,97.7,97.92,0.379,-0.226,0.673,-0.282,46.058,49.482,,,APROXIMAR
1.4,-22.09,-22.49,94.95,95.18,0.404,-0.228,0.671,-0.281,46.058,49.482,,,APROXIMAR
1.5,-19.53,-19.94,92.2,92.42,0.417,-0.227,0.681,-0.268,46.058,49.482,,,APROXIMAR
1.6,-16.97,-17.4,89.45,89.67,0.428,-0.218,0.702,-0.248,46.058,49.482,,,APROXIMAR
1.7,-14.41,-14.85,86.7,86.9,0.439,-0.203,0.726,-0.227,46.058,49.482,,,APROXIMAR
0.0,-10.67,-10.67,82.4,82.4,0.0,0.0,-28.18,9.317,2.907,11.264,,,LEVANTAR
0.1,-11.03,-11.29,83.81,83.8,0.264,0.004,-0.017,0.125,2.907,11.264,,,LEVANTAR
0.2,-11.39,-11.5,85.22,85.15,0.109,0.064,-0.065,0.113,2.907,11.264,,,LEVANTAR
0.3,-11.76,-11.77,86.62,86.52,0.017,0.101,-0.057,0.117,2.907,11.264,,,LEVANTAR
0.4,-12.12,-12.08,88.03,87.91,-0.035,0.124,-0.053,0.12,2.907,11.264,,,LEVANTAR
0.5,-12.48,-12.42,89.44,89.3,-0.065,0.139,-0.05,0.122,2.907,11.264,,,LEVANTAR
0.6,-12.85,-12.76,90.85,90.7,-0.082,0.147,-0.049,0.123,2.907,11.264,,,LEVANTAR
0.7,-13.21,-13.12,92.26,92.1,-0.091,0.152,-0.048,0.123,2.907,11.264,,,LEVANTAR
0.0,-13.48,-13.48,93.51,93.51,0.0,0.0,6.13,-7.775,3.779,30.532,,,TRANSPORTAR_WP1
0.1,-12.91,-13.04,98.09,97.68,0.127,0.414,0.005,0.406,3.779,30.532,,,TRANSPORTAR_WP1
0.2,-12.34,-12.39,102.67,102.26,0.042,0.413,-0.011,0.401,3.779,30.532,,,TRANSPORTAR_WP1
