tempo_s,theta1_ref_deg,theta1_med_deg,theta2_ref_deg,theta2_med_deg,erro1_deg,erro2_deg,torque1_Nm,torque2_Nm,overshoot1_deg,overshoot2_deg,settling_time1_s,settling_time2_s,estado
0.0,-57.91,-57.91,133.43,133.43,0.0,0.0,0.0,0.0,56.396,63.119,,,APROXIMAR
0.1,-54.78,-55.07,129.93,130.15,0.297,-0.22,0.409,-0.286,56.396,63.119,,,APROXIMAR
0.2,-51.64,-51.94,126.42,126.66,0.293,-0.239,0.41,-0.285,56.396,63.119,,,APROXIMAR
0.3,-48.51,-48.8,122.91,123.16,0.29,-0.248,0.411,-0.284,56.396,63.119,,,APROXIMAR
0.4,-45.38,-45.66,119.41,119.66,0.286,-0.253,0.412,-0.283,56.396,63.119,,,APROXIMAR
0.5,-42.24,-42.53,115.9,116.15,0.283,-0.254,0.413,-0.282,56.396,63.119,,,APROXIMAR
0.6,-39.11,-39.39,112.39,112.65,0.28,-0.253,0.414,-0.281,56.396,63.119,,,APROXIMAR
0.7,-35.98,-36.26,108.89,109.14,0.277,-0.25,0.415,-0.28,56.396,63.119,,,APROXIMAR
0.8,-32.84,-33.12,105.38,105.63,0.275,-0.247,0.415,-0.28,56.396,63.119,,,APROXIMAR
0.9,-29.71,-29.98,101.87,102.12,0.272,-0.244,0.416,-0.279,56.396,63.119,,,APROXIMAR
1.0,-26.58,-26.85,98.37,98.61,0.269,-0.241,0.416,-0.278,56.396,63.119,,,APROXIMAR
1.1,-23.45,-23.71,94.86,95.1,0.266,-0.237,0.417,-0.278,56.396,63.119,,,APROXIMAR
1.2,-20.31,-20.57,91.35,91.59,0.263,-0.234,0.417,-0.278,56.396,63.119,,,APROXIMAR
1.3,-17.18,-17.44,87.85,88.08,0.259,-0.23,0.417,-0.278,56.396,63.119,,,APROXIMAR
1.4,-14.05,-14.3,84.34,84.67,0.253,-0.326,1.164,-1.206,56.396,63.119,,,APROXIMAR
1.5,-10.91,-11.28,80.83,81.15,0.363,-0.317,0.813,-0.352,56.396,63.119,,,APROXIMAR
1.6,-7.78,-8.22,77.33,77.62,0.436,-0.297,0.85,-0.317,56.396,63.119,,,APROXIMAR
1.7,-4.65,-5.13,73.82,74.09,0.488,-0.27,0.883,-0.284,56.396,63.119,,,APROXIMAR
0.0,-1.55,-1.55,72.13,72.13,0.0,0.0,-32.574,12.088,2.125,8.796,,,LEVANTAR
0.1,-1.81,-2.05,73.23,72.9,0.236,0.321,0.722,1.566,2.125,8.796,,,LEVANTAR
0.2,-2.08,-2.52,74.32,73.36,0.439,0.964,1.422,2.291,2.125,8.796,,,LEVANTAR
0.3,-2.34,-3.09,75.42,73.85,0.749,1.576,2.072,2.865,2.125,8.796,,,LEVANTAR
0.4,-2.61,-3.77,76.52,74.36,1.158,2.16,2.961,3.474,2.125,8.796,,,LEVANTAR
0.5,-2.88,-4.61,77.62,74.72,1.737,2.9,4.121,4.536,2.125,8.796,,,LEVANTAR
0.6,-3.14,-5.45,78.72,75.16,2.312,3.559,4.889,5.094,2.125,8.796,,,LEVANTAR
0.7,-3.41,-6.26,79.82,75.69,2.848,4.135,5.556,5.581,2.583,8.796,,,LEVANTAR
0.0,-6.99,-6.99,76.16,76.16,0.0,0.0,-80.0,-80.0,1.443,44.423,,,TRANSPORTAR_WP1
0.1,-6.78,-8.74,82.83,77.84,1.964,4.987,8.631,11.384,3.191,44.423,,,TRANSPORTAR_WP1
0.2,-6.56,-10.4,89.49,82.23,3.844,7.264,10.272,11.777,4.854,44.423,,,TRANSPORTAR_WP1
0.3,-6.34,-11.33,96.15,88.11,4.983,8.043,8.619,8.639,5.777,44.423,,,TRANSPORTAR_WP1
0.4,-6.13,-10.92,102.82,95.46,4.797,7.361,5.507,6.044,5.777,44.423,,,TRANSPORTAR_WP1
0.5,-5.91,-9.67,109.48,103.54,3.758,5.936,2.425,3.36,5.777,44.423,,,TRANSPORTAR_WP1
0.6,-5.69,-8.1,116.14,111.91,2.404,4.238,0.587,1.695,5.777,44.423,,,TRANSPORTAR_WP1
0.0,-7.19,-7.19,117.31,117.31,0.0,0.0,-80.0,-80.0,95.55,0.351,,,TRANSPORTAR_WP2
0.1,-21.52,-18.75,117.37,117.94,-2.771,-0.57,-8.695,-3.126,95.55,0.351,,,TRANSPORTAR_WP2
0.2,-35.85,-31.65,117.42,119.34,-4.202,-1.92,-7.067,-3.036,95.55,1.675,,,TRANSPORTAR_WP2
0.3,-50.18,-45.9,117.47,119.67,-4.284,-2.2,-4.651,-1.397,95.55,2.007,,,TRANSPORTAR_WP2
0.4,-64.52,-60.72,117.52,119.42,-3.8,-1.897,-3.395,-0.486,95.55,2.007,,,TRANSPORTAR_WP2
0.5,-78.85,-75.6,117.58,119.06,-3.253,-1.482,-2.813,-0.087,95.55,2.007,,,TRANSPORTAR_WP2
0.6,-93.18,-90.39,117.63,118.75,-2.794,-1.118,-2.527,0.116,95.55,2.007,,,TRANSPORTAR_WP2
